name_enus,icon,screenshot,displayName,skillcategory,rank_enus,description_enus,id
Rest,ability_hunter_separationanxiety,"{'id': 184125, 'imageType': 2}",,-3,Bonus Ability,You command your pet Bear to take a rest.,94019
Trick,ability_hunter_separationanxiety,{},,-3,Bonus Ability,You command your Bird of Prey to do a trick. Larger birds may not be interested.,94022
Trick,ability_hunter_separationanxiety,{},,-3,Bonus Ability,You command your Crane to do a trick.,126259
Surface Trot,spell_frost_windwalkon,"{'id': 316233, 'imageType': 2}",,-3,Exotic Ability,Allows the Hunter and the Water Strider to walk across water. Any damage will cancel the effect.,126311
Rest,ability_hunter_separationanxiety,"{'id': 389103, 'imageType': 2}",,-3,Bonus Ability,You command your pet Rodent to take a rest.,126364
Molten Hide,spell_shaman_improvedfirenova,{},,-3,Exotic Ability,"When the core hound takes melee attacks, it infuses its hide with molten lava, causing (<!--term-->percentOfAttackPower_format, 8.19<!--term-->) Fire damage to all further melee attackers for 10 sec. Molten Hide can only activate every 60 sec.",159788
Feast,ability_racial_cannibalize,{},,-3,Exotic Ability,"The devilsaur feasts on a nearby Humanoid or Beast corpse within 5 yards, healing it for 20% of its maximum health and restoring 20 focus over 6 sec.",159953
Updraft,spell_magic_featherfall,{},,-3,Exotic Ability,"Your pet beats its powerful wings, slowing the fall speed of both itself and the hunter for 30 sec.",160007
Agile Reflexes,inv_misc_foxkit,{},,-3,Special Ability,"The Fox heightens its senses, increasing dodge chance by 30% for 20 sec.",160011
Gruesome Bite,ability_devour,{},,-3,Special Ability,"The Riverbeast bites gruesomely at its target, causing Mortal Wounds on the target.<br /><br /><span class=""tooltip-inside-icon"" style=""background-image: url(//wow.zamimg.com/images/wow/icons/small/ability_criticalstrike.jpg)""></span> <span style=""color: #FFFFFF"">Mortal Wounds</span><br />Grievously wounds the target, reducing the effectiveness of any healing received for 10 sec.",160018
Primal Agility,inv_pet_monkey,{},,-3,Special Ability,"The Monkey heightens its senses, increasing dodge chance by 30% for 20 sec.",160044
Stone Armor,achievement_moguraid_01,{},,-3,Special Ability,"When falling below 40% health, the Quilen's skin will change to stone, causing it to take 40% less damage and regenerate 3% of its maximum health every 1 sec for 15 sec.<br /><br />This effect can only occur once every 120 sec.",160049
Thick Hide,inv_misc_nativebeastskin,{},,-3,Special Ability,"When falling below 40% health, the Clefthoof's skin will thicken, granting 60% reduced incoming damage for 15 sec.<br /><br />This effect can only occur once every 120 sec.",160057
Deadly Sting,trade_archaeology_tinybronzescorpion,{},,-3,Special Ability,"The Scorpion lashes out with its tail, stinging the target and causing the Mortal Wounds effect.<br /><br /><span class=""tooltip-inside-icon"" style=""background-image: url(//wow.zamimg.com/images/wow/icons/small/ability_criticalstrike.jpg)""></span> <span style=""color: #FFFFFF"">Mortal Wounds</span><br />Grievously wounds the target, reducing the effectiveness of any healing received for 10 sec.",160060
Solid Shell,inv_misc_stonetablet_01,{},,-3,Special Ability,"The Shale Beast hardens its rocky armor, reducing damage taken by 50% for 12 sec.",160063
Tendon Rip,inv_misc_monsterclaw_09,{},,-3,Special Ability,"The Aqiri slashes at the target's feet, reducing movement speed by 50% for 6 sec.",160065
Web Spray,inv_misc_web_01,{},,-3,Special Ability,"The Spider wraps webs around the target, slowing movement by 50% for 6 sec.",160067
Lock Jaw,ability_druid_lacerate,{},,-3,Special Ability,"The Hound bites the target's feet, reducing movement speed by 50% for 6 sec.",263423
Acid Spit,ability_creature_poison_02,{},,-3,Special Ability,"The Worm spits acid at the target, slowing movement by 50% for 6 sec.",263446
Furious Bite,ability_hunter_pet_wolf,{},,-3,Special Ability,"The Wolf bites the target's feet, reducing movement speed by 50% for 6 sec.",263840
Petrifying Gaze,inv_pet_-basilisk,{},,-3,Special Ability,"The Basilisk stares at the target, reducing movement speed by 50% for 6 sec.",263841
Talon Rend,ability_druid_mangle2,{},,-3,Special Ability,"The Bird of Prey claws at the target's feet, reducing movement speed by 50% for 6 sec.",263852
Infected Bite,ability_druid_primaltenacity,{},,-3,Special Ability,"The Hyena sinks its fangs into the target, infecting the target with Mortal Wounds.<br /><br /><span class=""tooltip-inside-icon"" style=""background-image: url(//wow.zamimg.com/images/wow/icons/small/ability_criticalstrike.jpg)""></span> <span style=""color: #FFFFFF"">Mortal Wounds</span><br />Grievously wounds the target, reducing the effectiveness of any healing received for 10 sec.",263853
Savage Rend,ability_gouge,{},,-3,Special Ability,"The Raptor slashes deep into the target, causing Mortal Wounds.<br /><br /><span class=""tooltip-inside-icon"" style=""background-image: url(//wow.zamimg.com/images/wow/icons/small/ability_criticalstrike.jpg)""></span> <span style=""color: #FFFFFF"">Mortal Wounds</span><br />Grievously wounds the target, reducing the effectiveness of any healing received for 10 sec.",263854
Gnaw,inv_pet_beaver,{},,-3,Special Ability,"The Rodent gnaws a gaping wound into the target, causing the Mortal Wounds effect.<br /><br /><span class=""tooltip-inside-icon"" style=""background-image: url(//wow.zamimg.com/images/wow/icons/small/ability_criticalstrike.jpg)""></span> <span style=""color: #FFFFFF"">Mortal Wounds</span><br />Grievously wounds the target, reducing the effectiveness of any healing received for 10 sec.",263856
Ravage,artifactability_feraldruid_openwounds,{},,-3,Special Ability,"The Ravager tears into the enemy,  causing the Mortal Wounds effect.<br /><br /><span class=""tooltip-inside-icon"" style=""background-image: url(//wow.zamimg.com/images/wow/icons/small/ability_criticalstrike.jpg)""></span> <span style=""color: #FFFFFF"">Mortal Wounds</span><br />Grievously wounds the target, reducing the effectiveness of any healing received for 10 sec.",263857
Toxic Sting,ability_poisons,{},,-3,Special Ability,"The Wasp dives in and stings the target, causing the Mortal Wounds effect.<br /><br /><span class=""tooltip-inside-icon"" style=""background-image: url(//wow.zamimg.com/images/wow/icons/small/ability_criticalstrike.jpg)""></span> <span style=""color: #FFFFFF"">Mortal Wounds</span><br />Grievously wounds the target, reducing the effectiveness of any healing received for 10 sec.",263858
Gore,inv_pet_direhorn,{},,-3,Special Ability,"The Direhorn drives its horns into the target, causing the Mortal Wounds effect.<br /><br /><span class=""tooltip-inside-icon"" style=""background-image: url(//wow.zamimg.com/images/wow/icons/small/ability_criticalstrike.jpg)""></span> <span style=""color: #FFFFFF"">Mortal Wounds</span><br />Grievously wounds the target, reducing the effectiveness of any healing received for 10 sec.",263861
Acid Bite,spell_nature_corrosivebreath,{},,-3,Special Ability,"The Hydra bites the target with corrosive venom, causing the Mortal Wounds effect.<br /><br /><span class=""tooltip-inside-icon"" style=""background-image: url(//wow.zamimg.com/images/wow/icons/small/ability_criticalstrike.jpg)""></span> <span style=""color: #FFFFFF"">Mortal Wounds</span><br />Grievously wounds the target, reducing the effectiveness of any healing received for 10 sec.",263863
Scale Shield,inv_artifact_dragonscales,{},,-3,Special Ability,"The Scalehide hardens its skin, reducing damage taken by 50% for 12 sec.",263865
Obsidian Skin,ability_mage_moltenarmor,{},,-3,Special Ability,"The Core Hound suddenly cools and hardens the magma on its skin, reducing damage taken by 50% for 12 sec.",263867
Defense Matrix,ability_vehicle_shellshieldgenerator,{},,-3,Special Ability,"The Mechanical contraption creates a personal defense matrix around itself, reducing damage taken by 50% for 12 sec.",263868
Bristle,spell_magic_polymorphpig,{},,-3,Special Ability,"The Boar bristles its hide, reducing damage taken by 50% for 12 sec.",263869
Dragon's Guile,ability_hunter_pet_dragonhawk,{},,-3,Special Ability,"The Dragonhawk takes on a defensive posture, increasing dodge chance by 30% for 20 sec.",263887
Catlike Reflexes,ability_hunter_catlikereflexes,{},,-3,Special Ability,"The Cat heightens its senses, increasing dodge chance by 30% for 20 sec.",263892
Serpent's Swiftness,ability_hunter_serpentswiftness,{},,-3,Special Ability,"The Serpent takes on a defensive posture, increasing dodge chance by 30% for 20 sec.",263904
Feather Flurry,inv_feather_13,{},,-3,Special Ability,"The Feathermane flaps wildly, flinging feathers into the air that distract its enemies, increasing dodge chance by 30% for 20 sec.",263916
Gruff,inv_pet_-goat,{},,-3,Special Ability,"When falling below 40% health, the Gruffhorn will shrug off attacks, granting 60% reduced incoming damage for 15 sec.<br /><br />This effect can only occur once every 120 sec.",263921
Thick Fur,spell_druid_bristlingfur,{},,-3,Special Ability,"When falling below 40% health, the Bear's fur will thicken, granting 60% reduced incoming damage for 15 sec.<br /><br />This effect can only occur once every 120 sec.",263934
Silverback,ability_hunter_pet_gorilla,{},,-3,Special Ability,"When falling below 40% health, the Gorilla will shrug off attacks, granting 60% reduced incoming damage for 15 sec.<br /><br />This effect can only occur once every 120 sec.",263939
Niuzao's Fortitude,ability_monk_chargingoxwave,{},,-3,Special Ability,"When falling below 40% health, the Ox will shrug off attacks, granting 60% reduced incoming damage for 15 sec.<br /><br />This effect can only occur once every 120 sec.",264023
Winged Agility,ability_hunter_serpentswiftness,{},,-3,Special Ability,"The Wind Serpent takes on a defensive posture, increasing dodge chance by 30% for 20 sec.",264360
Pathfinding,spell_lifegivingspeed,{},,-7,Cunning Passive,You and your pet gain 8% increased movement speed.,264656
Endurance Training,ability_hunter_huntervswild,{},,-7,Tenacity Passive,You and your pet gain 5% increased maximum health.,264662
Predator's Thirst,spell_shadow_vampiricaura,{},,-7,Ferocity Passive,You and your pet gain 4% Leech.,264663
Primal Rage,spell_shadow_unholyfrenzy,"{'id': 1066149, 'imageType': 2}",,-7,Ferocity Ability,Increases haste by 30% for all party and raid members for 40 sec.<br /><br />Allies receiving this effect will become Sated and unable to benefit from Primal Rage or similar effects again for 10 min.<!--cooldown:356962:3 min cooldown-->,264667
Eternal Guardian,spell_nature_reincarnation,{},,-3,Exotic Ability,"When used, your pet will miraculously return to life with full health.",267922
Fortitude of the Bear,spell_druid_bearhug,{},,0,Command Pet Ability,Damage taken reduced by 3%.,272679
Master's Call,ability_hunter_masterscall,{},,0,Command Pet Ability,"<a href=""/spell=53271/masters-call"" target=""_blank"">Your pet removes all root and movement impairing effects from itself and a friendly target, and grants immunity to all such effects for 4 sec.</a><!--cooldown:356962:23 sec cooldown-->",272682
Calcified Carapace,trade_archaeology_blacktrilobite,{},,-3,Exotic Passive,Reduces physical damage taken by (<!--term-->totalHealth<!--term--> * 0.0015 * 0.7).,279254
Shimmering Shale,inv_skinning_80_shimmerscale,{},,-3,Exotic Passive,Reduces magic damage taken by (<!--term-->totalHealth<!--term--> * 0.0015 * 0.7).,279259
Swarm of Flies,spell_nature_insect_swarm2,{},,-3,Special Ability,"A swarm of flies surrounds the Toad, distracting enemies, increasing dodge chance by 30% for 20 sec.",279336
Grievous Bite,inv_misc_bone_09,{},,-3,Special Ability,"The Lizard bites with toxic venom, causing Mortal Wounds.<br /><br /><span class=""tooltip-inside-icon"" style=""background-image: url(//wow.zamimg.com/images/wow/icons/small/ability_criticalstrike.jpg)""></span> <span style=""color: #FFFFFF"">Mortal Wounds</span><br />Grievously wounds the target, reducing the effectiveness of any healing received for 10 sec.",279362
Ancient Hide,inv_skinning_80_coarseleather,{},,-3,Special Ability,"When falling below 40% health, the Pterrordax will shrug off attacks, granting 60% reduced incoming damage for 15 sec.<br /><br />This effect can only occur once every 120 sec.",279399
Bulwark,inv_shield_18,{},,-3,Special Ability,"The Carapid assumes a defensive posture, reducing damage taken by 50% for 12 sec.",279410
Blood of the Rhino,spell_shadow_lifedrain,{},,-3,Exotic Ability,The Clefthoof has 10% additional armor and increases the effectiveness of healing received by 20%.,280069
Dune Strider,ability_hunter_pet_silithid,{},,-3,Exotic Ability,Increases the Aqiri's movement speed by 30%.,280151
Blood Bolt,artifactability_blooddeathknight_umbilicuseternus,{},,-3,Special Ability,"The blood beast belches blood at the target, reducing movement speed by 50% for 6 sec.",288962
Hardy,ability_mount_camel_brown,{},,-3,Special Ability,"When falling below 40% health, the Camel will shrug off attacks, granting 60% reduced incoming damage for 15 sec.<br /><br />This effect can only occur once every 120 sec.",341115
Fleethoof,inv_horse3_pale,{},,-3,Special Ability,"The Courser gallops quickly, increasing dodge chance by 30% for 20 sec.",341117
Trample,ability_mount_ridingelekk,{},,-3,Special Ability,"The Mammoth tramples the target, slowing movement by 50% for 6 sec.",341118
Soothing Waters,spell_arcane_massdispel,{},,-3,Special Ability,"The Water Strider cleanses itself with water droplets, removing 1 Disease, Magic, and Poison effect.",344346
Spore Cloud,spell_arcane_massdispel,{},,-3,Special Ability,"The Sporebat shakes off excess spores, removing 1 Disease, Magic, and Poison effect from itself.",344347
Sonic Screech,spell_arcane_massdispel,{},,-3,Special Ability,"The Bat emits a sonic pulse from within, removing 1 Disease, Magic, and Poison effect from itself.",344348
Nether Energy,spell_arcane_massdispel,{},,-3,Special Ability,"A pulse of excess energy releases from the Ray, removing 1 Disease, Magic, and Poison effect from itself.",344349
Oiled Feathers,spell_arcane_massdispel,{},,-3,Special Ability,"Shakes its feathers, removing 1 Disease, Magic, and Poison effect from itself.",344350
Spirit Pulse,spell_arcane_massdispel,{},,-3,Special Ability,"A pulse of spirit energy releases from the Spirit Beast, removing 1 Disease, Magic, and Poison effect from itself.",344351
Nature's Grace,spell_arcane_massdispel,{},,-3,Special Ability,"A soothing breeze surrounds the Stag, removing 1 Disease, Magic, and Poison effect from itself.",344352
Serenity Dust,spell_arcane_massdispel,{},,-3,Special Ability,"The moth vibrates its wings, releasing tranquil dust all over itself, removing 1 Disease, Magic, and Poison effect.",344353
Shimmering Scales,inv_misc_rubysanctum1,{},,-3,Special Ability,"The Lesser Dragonkin's scales shimmer, reducing magic damage taken by 70% for 8 sec.",392622
Serrated Strike,ability_druid_ravage,{},,-3,Special Ability,"The Whiptail strikes out with magic laden tails, applying Mortal Wounds.<br /><br /><span class=""tooltip-inside-icon"" style=""background-image: url(//wow.zamimg.com/images/wow/icons/small/ability_criticalstrike.jpg)""></span> <span style=""color: #FFFFFF"">Mortal Wounds</span><br />Grievously wounds the target, reducing the effectiveness of any healing received for 10 sec.",1247058
Shadow Jump,spell_shadow_shadesofdarkness,{},,-3,Special Ability,"<a href=""/spell=1247117/shadow-jump"" target=""_blank"">The Whiptail steps through the shadows and pounces on their prey, teleporting behind them. Reduces the target's movement by 80% for 1 sec.</a>",1247078
