npc_id,npc_name,notes
5762,Deviate Moccasin,Located in Wailing Caverns (Dungeon). Three of these snakes spawn as the first wave of attackers while the Disciple of Naralex is attempting to wake Naralex.
5833,Margol the Rager,"Margol wanders a mountain path in the far south-east corner of the zone, near a cave."
5912,Deviate Faerie Dragon,"Located in Wailing Caverns (Dungeon). This rarely-occurring fey darter spawns in the upper caverns in the far south-east of the instance. If it's present, head south-east, go past Skum, and follow the ramp up and around until you find it. The orange variant of this creature occurs roughly 1 in 5 of the times it spawns. You can '/tar Deviate Faerie Dragon' from just inside the dungeon entrance to check if it has spawned and if it's in the colour you're after. If not, you can leave, select ""Reset All Instances"" from your character portrait, and keep trying. Note: you can only target it from just inside the entrance, and in the south-eastern third of the dungeon; once you proceed past the NPCs at the dungeon entrance you won't be able to detect it again until you head further south-east again."
5928,Sorrow Wing,In some trees north-west of the lake.
5983,Bonepicker Felfeeder,Flies high over most of Blasted Lands.
6021,Boar Spirit,Located in Razorfen Kraul (Dungeon). Behind the shield that goes down after you kill Groyat.
6215,Chomper,Located in Gnomeregan (Dungeon).
7022,Venomlash Scorpid,Located in Uldaman (Dungeon).
7078,Cleft Scorpid,Located in Uldaman (Dungeon).
7268,Sandfury Guardian,Located in Zul'Farrak (Dungeon).
7269,Scarab,Located in Zul'Farrak (Dungeon).
7273,Gahz'rilla,Located in Zul'Farrak (Dungeon).
7405,Deadly Cleft Scorpid,Located in Uldaman (Dungeon).
7803,Scorpid Duneburrower,Spawns during the quest Rescue OOX-17/TN!.
8095,Sul'lithuz Sandcrawler,Located in Zul'Farrak (Dungeon).
8120,Sul'lithuz Abomination,Located in Zul'Farrak (Dungeon).
8138,Sul'lithuz Broodling,Located in Zul'Farrak (Dungeon).
8211,Old Cliff Jumper,Appears in Featherbeard's Hovel
8299,Spiteflayer,"Spiteflayer circles an area roughly south of Nethergarde Keep, bordered by the road to the south. It stands out as the only yellow vulture in the area. It only appears in the original, pre-""Iron Horde Invasion"" phase of the zone. Speak to Zidormi, in the passage to the Swamp of Sorrows, to access the pre-invasion phase. It used to be a Black Vulture."
8300,Ravage,"Ravage may be found north-east of (and across the hills from) Dreadmaul Post. It only appears in the original, pre-""Iron Horde Invasion"" phase of the zone. Speak to Zidormi, in the passage to the Swamp of Sorrows, to access the pre-invasion phase."
8301,Clack the Reaver,"Clack only appears in the original, pre-""Iron Horde Invasion"" phase of the zone. Speak to Zidormi, in the passage to the Swamp of Sorrows, to access the pre-invasion phase."
8302,Deatheye,"Deatheye is located west of a small hill, south-west of Nethergarde Keep and east (across the main road from) Dreadmaul Hold. It only appears in the original, pre-""Iron Horde Invasion"" phase of the zone. Speak to Zidormi, in the passage to the Swamp of Sorrows, to access the pre-invasion phase."
8303,Grunter,"Appears roughly east (and across the road from) Dreadmaul Post and north of the Dark Portal area. It used to be a Black Boar. Grunter only appears in the original, pre-""Iron Horde Invasion"" phase of the zone. Speak to Zidormi, in the passage to the Swamp of Sorrows, to access the pre-invasion phase."
8336,Hakkari Sapper,Located in Sunken Temple (Dungeon).
8440,Avatar of Hakkar,"Located in Sanctum of the Fallen God, Sunken Temple (Dungeon)."
8886,Deviate Python,"Located in Pit of Fangs, Wailing Caverns (Dungeon). Found in the western region of the dungeon."
8921,Bloodhound,Located in Blackrock Depths (Dungeon).
8922,Bloodhound Mastiff,Located in Blackrock Depths (Dungeon).
8925,Dredge Worm,Located in Blackrock Depths (Dungeon).
8926,Deep Stinger,Located in Blackrock Depths (Dungeon).
8927,Dark Screecher,Located in Blackrock Depths (Dungeon).
8928,Burrowing Thundersnout,"Located in Ring of the Law, Blackrock Depths (Dungeon). May appear during the Ring of the Law event. Random encounter."
8932,Borer Beetle,Located in Blackrock Depths (Dungeon). May appear during Ring of Law event.
8933,Cave Creeper,Located in Blackrock Depths (Dungeon).
9042,Verek,Located in Blackrock Depths (Dungeon).
9416,Scarshield Worg,Located in Blackrock Spire (Dungeon).
9683,Lar'korwi Mate,Summoned during quest The Scent of Lar'korwi.
9684,Lar'korwi,Summoned during quest The Bait for Lar'korwi.
9696,Bloodaxe Worg,Located in Blackrock Spire (Dungeon).
9701,Spire Scorpid,Located in Blackrock Spire (Dungeon).
10177,Spire Scarab,Located in Blackrock Spire (Dungeon).
10220,Halycon,"Located in Halycon's Lair, Blackrock Spire (Dungeon)."
10221,Bloodaxe Worg Pup,Located in Blackrock Spire (Dungeon).
10268,Gizrul the Slavener,Located in Blackrock Spire (Dungeon). Spawns when Halycon dies.
10375,Spire Spiderling,Located in Blackrock Spire (Dungeon).
10376,Crystal Fang,"Located in Skitterweb Tunnels, Blackrock Spire (Dungeon)."
10596,Mother Smolderweb,"Located in Skitterweb Tunnels, Blackrock Spire (Dungeon)."
10699,Carrion Scarab,Summoned by Crypt Horrors and Nerubian Sycophants during combat.
10737,Shy-Rotam,No longer spawns from a quest - now permanent.
10806,Ursius,In a cave near his old spot (Moon Horror Den).
10981,Frostwolf,Located in Alterac Valley (Battleground). Exists in each level of the battleground.
10990,Alterac Ram,Located in Alterac Valley (Battleground).
11671,Core Hound,Located in Molten Core (Raid).
11672,Core Rager,Located in Molten Core (Raid).
11673,Ancient Core Hound,Located in Molten Core (Raid).
11698,Hive'Ashi Stinger,"Original Silithus creatures vanish after you complete the Antorus raid. To time-travel to the earlier phase, speak to Zidormi near Valor's Rest."
11721,Hive'Ashi Worker,"Original Silithus creatures vanish after you complete the Antorus raid. To time-travel to the earlier phase, speak to Zidormi near Valor's Rest."
11722,Hive'Ashi Defender,"Original Silithus creatures vanish after you complete the Antorus raid. To time-travel to the earlier phase, speak to Zidormi near Valor's Rest."
11723,Hive'Ashi Sandstalker,"Original Silithus creatures vanish after you complete the Antorus raid. To time-travel to the earlier phase, speak to Zidormi near Valor's Rest."
11724,Hive'Ashi Swarmer,"Original Silithus creatures vanish after you complete the Antorus raid. To time-travel to the earlier phase, speak to Zidormi near Valor's Rest."
11725,Hive'Zora Waywatcher,"Original Silithus creatures vanish after you complete the Antorus raid. To time-travel to the earlier phase, speak to Zidormi near Valor's Rest."
11726,Hive'Zora Tunneler,"Original Silithus creatures vanish after you complete the Antorus raid. To time-travel to the earlier phase, speak to Zidormi near Valor's Rest."
11727,Hive'Zora Wasp,"Original Silithus creatures vanish after you complete the Antorus raid. To time-travel to the earlier phase, speak to Zidormi near Valor's Rest."
11728,Hive'Zora Reaver,"Original Silithus creatures vanish after you complete the Antorus raid. To time-travel to the earlier phase, speak to Zidormi near Valor's Rest."
11729,Hive'Zora Hive Sister,"Original Silithus creatures vanish after you complete the Antorus raid. To time-travel to the earlier phase, speak to Zidormi near Valor's Rest."
11730,Hive'Regal Ambusher,"Original Silithus creatures vanish after you complete the Antorus raid. To time-travel to the earlier phase, speak to Zidormi near Valor's Rest."
11731,Hive'Regal Burrower,"Original Silithus creatures vanish after you complete the Antorus raid. To time-travel to the earlier phase, speak to Zidormi near Valor's Rest."
11732,Hive'Regal Spitfire,"Original Silithus creatures vanish after you complete the Antorus raid. To time-travel to the earlier phase, speak to Zidormi near Valor's Rest."
11733,Hive'Regal Slavemaker,"Original Silithus creatures vanish after you complete the Antorus raid. To time-travel to the earlier phase, speak to Zidormi near Valor's Rest."
11734,Hive'Regal Hive Lord,"Original Silithus creatures vanish after you complete the Antorus raid. To time-travel to the earlier phase, speak to Zidormi near Valor's Rest."
11735,Stonelash Scorpid,"Original Silithus creatures vanish after you complete the Antorus raid. To time-travel to the earlier phase, speak to Zidormi near Valor's Rest."
11736,Stonelash Pincer,"Original Silithus creatures vanish after you complete the Antorus raid. To time-travel to the earlier phase, speak to Zidormi near Valor's Rest."
11737,Stonelash Flayer,"Original Silithus creatures vanish after you complete the Antorus raid. To time-travel to the earlier phase, speak to Zidormi near Valor's Rest."
11738,Sand Skitterer,"Original Silithus creatures vanish after you complete the Antorus raid. To time-travel to the earlier phase, speak to Zidormi near Valor's Rest."
11739,Rock Stalker,"Original Silithus creatures vanish after you complete the Antorus raid. To time-travel to the earlier phase, speak to Zidormi near Valor's Rest."
11740,Dredge Striker,"Original Silithus creatures vanish after you complete the Antorus raid. To time-travel to the earlier phase, speak to Zidormi near Valor's Rest."
11741,Dredge Crusher,"Original Silithus creatures vanish after you complete the Antorus raid. To time-travel to the earlier phase, speak to Zidormi near Valor's Rest."
11787,Rock Borer,Located in Maraudon (Non-Instanced).
11788,Rock Worm,Located in Maraudon (Non-Instanced).
11789,Deep Borer,Located in Maraudon (Dungeon).
11982,Magmadar,Located in Molten Core (Raid).
12207,Thessala Hydra,Located in Maraudon (Dungeon).
12418,Gordok Hyena,Found outside the Dire Maul dungeon.
12676,Sharptalon,"Sharptalon patrols an area in south-east Ashenvale, around approximately 72, 76. Friendly to Alliance."
12940,Vorsha the Lasher,"Vorsha is summoned during the once-only Horde quest, Vorsha the Lasher, given by Muglash in the nearby Zoram'gar Outpost. If you've already completed the quest, or your hunter is Alliance, you can easily bring in a Horde character to start the quest, follow Muglash's directions until the stage in which Vorsha spawns, then quickly log off and switch to your hunter."
13036,Gordok Hound,Located in Dire Maul (Dungeon).
13136,Hive'Ashi Drone,"Spawns after killing Tortured Druids at Southwind Village. Original Silithus creatures vanish after you complete the Antorus raid. To time-travel to the earlier phase, speak to Zidormi near Valor's Rest."
13323,Subterranean Diemetradon,Located in Maraudon (Dungeon). In the caverns beyond Earth Song Falls.
13596,Rotgrip,"Located in Zaetar's Grave, Maraudon (Dungeon)."
13599,Stolid Snapjaw,Located in Maraudon (Dungeon).
13676,Stabled Alterac Ram,Located in Alterac Valley (Battleground).
14020,Chromaggus,"Located in Chromaggus is the seventh encounter of the raid, Blackwing Lair (Raid)."
14283,Stormpike Owl,Located in Alterac Valley (Battleground). Exists in each level of the battleground.
14370,Cadaverous Worm,Located in Dire Maul (Dungeon). Spawn when Rotting Highborne are killed. Dies after taming.
14398,Eldreth Darter,Located in Dire Maul West (Dungeon).
14472,Gretheer,"Original Silithus creatures vanish after you complete the Antorus raid. To time-travel to the earlier phase, speak to Zidormi near Valor's Rest."
14473,Lapress,"Original Silithus creatures vanish after you complete the Antorus raid. To time-travel to the earlier phase, speak to Zidormi near Valor's Rest."
14474,Zora,"Original Silithus creatures vanish after you complete the Antorus raid. To time-travel to the earlier phase, speak to Zidormi near Valor's Rest."
14475,Rex Ashil,"Original Silithus creatures vanish after you complete the Antorus raid. To time-travel to the earlier phase, speak to Zidormi near Valor's Rest."
14476,Krellack,"Original Silithus creatures vanish after you complete the Antorus raid. To time-travel to the earlier phase, speak to Zidormi near Valor's Rest."
14477,Grubthor,"Original Silithus creatures vanish after you complete the Antorus raid. To time-travel to the earlier phase, speak to Zidormi near Valor's Rest."
15168,Vile Scarab,Located in Ruins of Ahn'Qiraj (Raid).
15196,Deathclasp,"Original Silithus creatures vanish after you complete the Antorus raid. To time-travel to the earlier phase, speak to Zidormi near Valor's Rest."
15229,Vekniss Soldier,Located in Temple of Ahn'Qiraj (Raid).
15230,Vekniss Warrior,Located in Temple of Ahn'Qiraj (Raid).
15233,Vekniss Guardian,Located in Temple of Ahn'Qiraj (Raid).
15235,Vekniss Stinger,Located in Temple of Ahn'Qiraj (Raid). Technically tameable but its 5-second interrupts make this very hard or impossible.
15236,Vekniss Wasp,Located in Temple of Ahn'Qiraj (Raid).
15240,Vekniss Hive Crawler,Located in Temple of Ahn'Qiraj (Raid).
15300,Vekniss Drone,Located in Temple of Ahn'Qiraj (Raid).
15316,Qiraji Scarab,Located in Temple of Ahn'Qiraj (Raid). The Hive Undergrounds
15317,Qiraji Scorpion,Located in Temple of Ahn'Qiraj (Raid).
15318,Hive'Zara Drone,Located in Ruins of Ahn'Qiraj (Raid).
15319,Hive'Zara Collector,Located in Ruins of Ahn'Qiraj (Raid).
15320,Hive'Zara Soldier,Located in Ruins of Ahn'Qiraj (Raid).
15323,Hive'Zara Sandstalker,Located in Ruins of Ahn'Qiraj (Raid).
15325,Hive'Zara Wasp,Located in Ruins of Ahn'Qiraj (Raid).
15327,Hive'Zara Stinger,Located in Ruins of Ahn'Qiraj (Raid). Technically tameable but its 5-second interrupts make this very hard or impossible.
15336,Hive'Zara Tail Lasher,Located in Ruins of Ahn'Qiraj (Raid).
15348,Kurinnaxx,"Located in Ruins of Ahn'Qiraj (Raid). Kurinnaxx is the first boss of the instance. It can interrupt frequently and seems to be resistant to traps, so start taming from as much distance as possible. Also, clear out any packs of roving wasps in the area as they can also interrupt your tame."
15369,Ayamiss the Hunter,"Located in The Comb, Ruins of Ahn'Qiraj (Raid)."
15370,Buru the Gorger,"Located in The Hatchery, Ruins of Ahn'Qiraj (Raid)."
15461,Shrieker Scarab,Located in Ruins of Ahn'Qiraj (Raid).
15462,Spitting Scarab,Located in Ruins of Ahn'Qiraj (Raid).
15509,Princess Huhuran,Located in Temple of Ahn'Qiraj (Raid). Princess Huhuran is the fifth encounter in the raid.
15510,Fankriss the Unyielding,Located in Temple of Ahn'Qiraj (Raid). Fankriss is the fourth encounter of the raid (including the optional bug trio).
15511,Lord Kri,"Located in Temple of Ahn'Qiraj (Raid). Lord Kri is part of a trio of silithid colossus bosses that form the second encounter of the raid. Try to tame him before Princess Yauj starts using her fear ability, which will interrupt you."
15521,Hive'Zara Hatchling,Located in Ruins of Ahn'Qiraj (Raid). Spawns when Buru Eggs are attacked.
15543,Princess Yauj,"Located in Temple of Ahn'Qiraj (Raid). Princess Yauj is part of a trio of silithid colossus bosses that form the second encounter of the raid. Try to tame her before she starts using her fear ability, which will interrupt you."
15544,Vem,"Located in Temple of Ahn'Qiraj (Raid). Vem is part of a trio of silithid colossus bosses that form the second encounter of the raid. You should be able to tame him quickly, before the others reach you."
15546,Hive'Zara Swarmer,Located in Ruins of Ahn'Qiraj (Raid). Spawned during Ayamiss the Hunter fight. Tameable only if it focuses aggro on you.
15621,Yauj Brood,Located in Temple of Ahn'Qiraj (Raid).
15622,Vekniss Borer,Located in Temple of Ahn'Qiraj (Raid).
15718,Ouro Scarab,Located in Temple of Ahn'Qiraj (Raid). Spawns during fight with Ouro.
15932,Gluth,"Located in Construct Quarter, Naxxramas (Raid)."
15934,Hive'Zara Buzzer,Located in Ruins of Ahn'Qiraj (Raid). Spawns during Ayamiss the Hunter fight if a player dies when chained to the altar. Technically tameable but its 5-second interrupts make this very hard or impossible.
15962,Vekniss Hatchling,Located in Temple of Ahn'Qiraj (Raid).
15974,Dread Creeper,Located in Naxxramas (Raid).
15975,Carrion Spinner,Located in Naxxramas (Raid).
15976,Venom Stalker,Located in Naxxramas (Raid).
16170,Coldmist Stalker,Located in Karazhan (Raid).
16171,Coldmist Widow,Located in Karazhan (Raid).
16173,Shadowbat,Located in Karazhan (Raid).
16174,Greater Shadowbat,Located in Karazhan (Raid).
16175,Vampiric Shadowbat,"Located in Servants' Quarters, Karazhan (Raid)."
16176,Shadowbeast,Located in Karazhan (Raid).
16177,Dreadbeast,Located in Karazhan (Raid).
16178,Phase Hound,Located in Karazhan (Raid).
16179,Hyakiss the Lurker,"Located in Servants' Quarters, Karazhan (Raid). One of three random bosses that may appear after most of the trash is killed in the Servants' Quarters. This can reset multiple times a day, often with a different random boss."
16180,Shadikith the Glider,"Located in Servant's Quarters, Karazhan (Raid). One of three random bosses that may appear after most of the trash is killed in the Servants' Quarters. This can reset multiple times a day, often with a different random boss."
16181,Rokad the Ravager,"Located in Servant's Quarters, Karazhan (Raid). Spawns in the Servants' Quarters if you clear the hound trash last. This can reset multiple times a day."
16491,Mana Feeder,"Located in Guardian's Library, Karazhan (Raid)."
16492,Syphoner,"Located in The Menagerie, Karazhan (Raid)."
16698,Corpse Scarab,"Located in Naxxramas (Raid). Much smaller than other beetles, and has a trailing effect when running. Spawns after Crypt Guards die during the Anub'Rekhan encounter. Anub'Rekhan is the first boss in the Arachnid Quarter of Naxxramas."
16872,Jetwing,"Jetwing flies high over the central part of zone and can be hard to reach and aggro, especially since it is not aggressive. The easiest way is to dismount in mid-air, shoot to aggro it, then use Disengage before you hit the ground to avoid falling damage."
16874,Snowblind,Spawns when you click on (and destroy) a large nest on the ground. The nest isn't always present and may take several hours to reappear.
16875,Netherbeak,"Netherbeak flies in an erratic, high-altitude path around a wide swathe of Azsuna. It is stealthed and is only detectable by Track Hidden once it gets close. A good place to wait is to hover a distance above the temple on Rhut'van Peak. Netherbeak should eventually fly by and aggro to you. Then land on top of the building and tame away!"
16992,Dreadtusk,"Created during the quest ""Testing the Antidote""."
17034,Female Kaliri Hatchling,May spawn when you click on the eggs in a Kaliri Nest.
17039,Male Kaliri Hatchling,May spawn when you click on the eggs in a Kaliri Nest.
17280,Shattered Hand Warhound,Located in Hellfire Ramparts (Dungeon).
17669,Rabid Warhound,Located in The Shattered Halls (Dungeon).
17724,Underbat,Located in The Underbog (Dungeon).
17731,Fen Ray,Located in The Underbog (Dungeon).
17732,Lykul Wasp,Located in The Underbog (Dungeon).
17882,The Black Stalker,Located in The Underbog (Dungeon).
17952,Darkwater Crocolisk,Located in The Black Morass (Dungeon).
18105,Ghaz'an,Located in The Underbog (Dungeon).
18155,Bloodfalcon,Located in The Botanica (Dungeon).
18289,Bull Elekk,"Found north-east of Oshu'gun, just outside the Spirit Fields."
18290,Tusker <Queen of the Elekk>,"Tusker holds court on a large rise, north-east of Oshu'gun, just outside the Spirit Fields."
18398,Brokentoe,Brokentoe is the first combatant in the Ring of Blood event. Speak to Gurgthock to pick up the quest and start the event.
18707,Torgos,Torgos cannot be attacked or tamed until activated during the quest Torgos! / Torgos!. He can be tamed by other hunters once this happens.
18982,Sable Jaguar,Located in The Black Morass (Dungeon).
18983,Blackfang Tarantula,Located in The Black Morass (Dungeon).
19055,Windroc Matriarch,"The Windroc Matriarch appears if you interact with a Mysterious Egg which can be found in a tree at approximate coordinates 61, 67 in Nagrand."
19306,Mana Leech,Located in Mana-Tombs (Dungeon).
19428,Cobalt Serpent,Located in Sethekk Halls (Dungeon).
19429,Avian Darkhawk,Located in Sethekk Halls (Dungeon).
19632,Lykul Stinger,Located in The Underbog (Dungeon).
20038,Phoenix-Hawk Hatchling,Located in Tempest Keep: The Eye (Raid).
20039,Phoenix-Hawk,Located in Tempest Keep: The Eye (Raid).
20783,Porfus the Gem Gorger,Random spawn from Ethereum Prisons.
20797,Deviate Coiler Hatchling,Located in Wailing Caverns (Dungeon).
20906,Phase-Hunter,Located in The Arcatraz (Dungeon).
21128,Coilfang Ray <Observer's Pet>,"Located in The Slave Pens (Dungeon). Although this creature is labelled as an ""Observer's Pet"" it can be tamed."
21246,Serpentshrine Sporebat,Located in Serpentshrine Cavern (Raid).
21250,Pink Elekk,"Located in The Grim Guzzler, Blackrock Depths (Raid) (Tameable); Terokkar Forest (Not Tameable) . Seasonal: only tameable during Brewfest - check your in-game calendar for dates. Before you tame it, the Pink Elekk is only visible if you're drunk or wearing Synthebrew Goggles (available during Brewfest), but it remains visible to all once tamed. A Pink Elekk appears (if you're drunk) just inside the entrance of the Grim Guzzler bar in Blackrock Depths during Brewfest. You can get there super-fast if you have Direbrew's Remote. It does not appear in the 'Coren Direbrew' boss instance version of the bar. Pink Elekks with this ID also appear all year round at both Allerian Stronghold and Stonebreaker Hold in Terokkar Forest, Outland, but those are friendly and cannot be tamed."
21306,Cursed Scarab,"Spawns when the Horde quest ""Spinebreak Post"" is turned in, but despawns soon after. Can be tamed by anyone."
21373,Silkwing,These moths sometimes spawn from killing a Silkwing Larva.
21423,Gore-Scythe Ravager,"Swarms of these creatures spawn and attack Toshley Station. You'll need to tame one quickly, before the guards kill it."
21470,Angered Arakkoa Protector,"Summoned during combat by Ruuan'ok Ravenguards, Lashh'an Wing Guards, and Vekh'nir Dreadhawks at the runed circles in Veil Ruuan, Veil Lashh, and Veil Vekh, respectively."
21891,Avian Ripper,Located in Sethekk Halls (Dungeon).
21904,Avian Warhawk,Located in Sethekk Halls (Dungeon).
22056,Coilfang Strider,Located in Serpentshrine Cavern (Raid).
22299,Spore Strider,Located in The Underbog (Dungeon). Found in Heroic difficulty only. Several spawn as adds in The Black Stalker fight.
22884,Leviathan,Located in Black Temple (Raid).
22885,Dragon Turtle <Coilskar Harpooner's Pet>,Located in Black Temple (Raid).
22946,Shadowmoon War Hound,"Located in Black Temple (Raid). Not to be confused with Shadowmoon Riding Hounds, which serve as mounts and cannot be tamed."
22979,Wild Sparrowhawk,Very difficult to tame as it drops aggro and flees. One way to maintain threat is to use Scare Beast on it and attempt to tame it while it's feared.
23020,Shadow Serpent,"Found along parts of the northernmost rim of the zone, including north of Coilskar Point, and a section north of the Altar of Sha'tar extending east to the Black Temple. Has a green-purple aura that is lost upon taming."
23035,Anzu,"Located in Sethekk Halls (Dungeon). Found in Heroic mode only, Anzu is the second boss."
23132,Brood of Anzu,Located in Sethekk Halls (Dungeon). Heroic only. Spawns during the fight with Anzu.
23163,Gezzarak the Huntress,Can be spawned through the repeatable quest Adversarial Blood in Skettis. Unlocking this quest requires completing most of the Skettis quest chain and farming for a number of summoning items.
23204,Vakkiz the Windrager,"Can be spawned through the quest Adversarial Blood in Skettis. When he's first summoned, Vakkiz appears as a living wind serpent (with a different ID) who cannot be tamed. He transforms into his tameable, undead form half way through the fight. Unlocking this quest requires completing most of the Skettis quest chain and farming for a number of summoning items."
23206,Akkarai Hatchling,These kaliri are summoned by Darkscreecher Akkarai during combat. This NPC can be spawned through the repeatable quest Adversarial Blood in Skettis. Unlocking this quest requires completing most of the Skettis quest chain and farming for a number of summoning items.
23232,Mutant War Hound,"Located in Halls of Anguish, Black Temple (Raid). Its green aura is lost upon taming."
23584,Amani Bear,Located in Zul'Aman (Dungeon).
23598,Amani Dragonhawk Hatchling,Located in Zul'Aman (Dungeon).
23834,Amani Dragonhawk,Located in Zul'Aman (Dungeon).
23939,Fiend,"Located outside, in the south-east corner of the area."
24043,Amani Lynx,Located in Zul'Aman (Dungeon).
24047,Amani Crocolisk,Located in Zul'Aman (Dungeon).
24064,Amani Lynx Cub,Located in Zul'Aman (Dungeon).
24138,Tamed Amani Crocolisk,Located in Zul'Aman (Dungeon).
24217,Amani Bear Mount,Located in Zul'Aman (Dungeon).
24338,Amani Snake,Located in Zul'Aman (Dungeon). Spawned by Snake Traps placed by Hex Lord Malacrass during combat.
24530,Amani Elder Lynx,Located in Zul'Aman (Dungeon).
24547,Hozzer,"Found deep within the caverns under the small island of Garvan's Reef, in the south-west of the zone. The cavern entrance is at the north end of the island."
24761,Brightscale Wyrm,"Located in Halls of Theory, Magisters' Terrace (Dungeon)."
24917,Phase Wyrm,Phased. To see them you must pick up the daily quest Maintaining the Sunwell Portal and use the Bash'ir Phasing Device dropped by the ethereals in the area.
25748,Oil-covered Hawk,This hawk loses its coating of black oil upon taming.
25750,Oil-soaked Caribou,This stag loses its coating of black oil upon taming.
